start_step,end_step,forecast_horizon,forecast_MSE,persistence_MSE,percent_improvement,method
31,39,40,0.081334323,0.078090288,-4.15421028,warping
31,40,45,0.091402494,0.084440023,-8.245463941,warping
31,41,50,0.102880665,0.094044951,-9.395203349,warping
32,33,5,0.005709099,0.008095376,29.47703183,warping
32,34,10,0.018658709,0.027359154,31.80085547,warping
32,35,15,0.028351219,0.040521782,30.03461763,warping
32,36,20,0.032897875,0.046891388,29.84239469,warping
32,37,25,0.039603144,0.055413744,28.53191131,warping
32,38,30,0.045342595,0.061612923,26.40733042,warping
32,39,35,0.062179319,0.075286777,17.41004088,warping
32,40,40,0.067945439,0.081676491,16.81151089,warping
32,41,45,0.074791248,0.091798116,18.52638004,warping
32,42,50,0.082961847,0.099535642,16.65111646,warping
33,34,5,0.010052932,0.014501315,30.67571846,warping
33,35,10,0.019504946,0.02872171,32.08988388,warping
33,36,15,0.024521835,0.036570436,32.94628775,warping
33,37,20,0.03101795,0.046838505,33.77681487,warping
33,38,25,0.037072491,0.053877435,31.19106133,warping
33,39,30,0.052835531,0.06911294,23.55189875,warping
33,40,35,0.059691401,0.075635071,21.07973154,warping
33,41,40,0.067822586,0.085838444,20.98810024,warping
33,42,45,0.07638528,0.093764077,18.53460073,warping
33,43,50,0.083755646,0.099673675,15.97014414,warping
34,35,5,0.008895106,0.010476921,15.09809568,warping
34,36,10,0.018268305,0.020496679,10.87187676,warping
34,37,15,0.027983434,0.03398802,17.66677214,warping
34,38,20,0.037528537,0.042543814,11.78849886,warping
34,39,25,0.053075656,0.06064359,12.47936477,warping
34,40,30,0.060935843,0.067316613,9.478744932,warping
34,41,35,0.069640056,0.077611111,10.2705074,warping
34,42,40,0.078696362,0.085936422,8.424902339,warping
34,43,45,0.087550751,0.093050843,5.910846568,warping
34,44,50,0.098097567,0.098610642,0.520304044,warping
35,36,5,0.007424528,0.007244782,-2.481040665,warping
35,37,10,0.016970902,0.021565924,21.30686186,warping
35,38,15,0.025723382,0.032243452,20.22137734,warping
35,39,20,0.041730941,0.053967352,22.67372803,warping
35,40,25,0.049995362,0.061887281,19.21544783,warping
35,41,30,0.060562862,0.072647465,16.63458267,warping
35,42,35,0.068964657,0.08135591,15.2309185,warping
35,43,40,0.076527984,0.088900966,13.91771402,warping
35,44,45,0.084022935,0.095008935,11.5631235,warping
35,45,50,0.089728849,0.100004255,10.27496851,warping
36,37,5,0.006510687,0.009309996,30.06777839,warping
36,38,10,0.012723533,0.020071262,36.60820844,warping
36,39,15,0.031321601,0.044197307,29.13233107,warping
36,40,20,0.037687031,0.053389338,29.41094114,warping
36,41,25,0.047771059,0.064778235,26.25445979,warping
36,42,30,0.055580208,0.074418266,25.31375526,warping
36,43,35,0.062771181,0.083396776,24.73188554,warping
36,44,40,0.067822492,0.090409871,24.98331119,warping
36,45,45,0.072461265,0.095565291,24.17616949,warping
36,46,50,0.077436114,0.103858381,25.44066947,warping
37,38,5,0.005153771,0.0068649,24.92576115,warping
37,39,10,0.020526127,0.033445087,38.62737668,warping
