start_step,end_step,forecast_horizon,forecast_MSE,persistence_MSE,percent_improvement,method
25,29,20,0.020444985,0.019052759,-7.307214652,warping
25,30,25,0.026365318,0.031077725,15.16329454,warping
25,31,30,0.033980362,0.041229661,17.58272828,warping
25,32,35,0.041535534,0.047690446,12.90596445,warping
25,33,40,0.049808321,0.055662001,10.51647333,warping
25,34,45,0.059681842,0.064157903,6.976633113,warping
25,35,50,0.065786056,0.071781293,8.352088893,warping
26,27,5,0.005377474,0.000568959,-845.142037,warping
26,28,10,0.012189848,0.005809045,-109.8425617,warping
26,29,15,0.021004946,0.012855846,-63.38828441,warping
26,30,20,0.028451931,0.025148031,-13.13780585,warping
26,31,25,0.039134412,0.03600043,-8.70540128,warping
26,32,30,0.047771244,0.043100838,-10.83599602,warping
26,33,35,0.056934502,0.051821725,-9.866087839,warping
26,34,40,0.069407875,0.06073512,-14.27963796,warping
26,35,45,0.076228923,0.068697521,-10.96313462,warping
26,36,50,0.078313092,0.071859655,-8.980612699,warping
27,28,5,0.005375218,0.00499049,-7.709210299,warping
27,29,10,0.012019616,0.012008407,-0.093343274,warping
27,30,15,0.023187074,0.024262422,4.432154395,warping
27,31,20,0.033212545,0.035311571,5.944299891,warping
27,32,25,0.04004131,0.042488634,5.759949116,warping
27,33,30,0.049361423,0.051163373,3.521952684,warping
27,34,35,0.059406333,0.059951332,0.909069151,warping
27,35,40,0.067436809,0.067853837,0.614597795,warping
27,36,45,0.071711543,0.070991384,-1.014431158,warping
27,37,50,0.078418104,0.076574862,-2.407111861,warping
28,29,5,0.005662859,0.004627047,-22.38602156,warping
28,30,10,0.015191075,0.017156877,11.45780925,warping
28,31,15,0.026169718,0.02905479,9.929763508,warping
28,32,20,0.033894135,0.037038766,8.490107048,warping
28,33,25,0.042473066,0.046748035,9.144702868,warping
28,34,30,0.054435462,0.05637948,3.448094811,warping
28,35,35,0.063443255,0.064463153,1.582140351,warping
28,36,40,0.068771522,0.06756743,-1.782059711,warping
28,37,45,0.078077545,0.074137851,-5.314011711,warping
28,38,50,0.088632807,0.079478044,-11.51860663,warping
29,30,5,0.010906973,0.010963226,0.513105906,warping
29,31,10,0.020176868,0.022604294,10.73878206,warping
29,32,15,0.025401675,0.031184587,18.54413603,warping
29,33,20,0.031358065,0.041288005,24.05042373,warping
29,34,25,0.040418101,0.052344677,22.78469591,warping
29,35,30,0.049355136,0.060407704,18.29661934,warping
29,36,35,0.054618655,0.06305324,13.37692569,warping
29,37,40,0.063113243,0.07024748,10.15586256,warping
29,38,45,0.07169706,0.076596593,6.396541098,warping
29,39,50,0.089800928,0.087259319,-2.912707942,warping
30,31,5,0.012211399,0.008966028,-36.196309,warping
30,32,10,0.021987081,0.018833654,-16.74357968,warping
30,33,15,0.030774522,0.031496423,2.29200804,warping
30,34,20,0.038291632,0.046144002,17.01709722,warping
30,35,25,0.044662894,0.055675663,19.78021977,warping
30,36,30,0.048763245,0.058906573,17.21934828,warping
30,37,35,0.0538585,0.065603897,17.9035046,warping
30,38,40,0.060487331,0.071891878,15.86347075,warping
30,39,45,0.068589063,0.08446402,18.79493384,warping
30,40,50,0.07398622,0.090317734,18.08228916,warping
31,32,5,0.009270918,0.005818769,-59.32781011,warping
31,33,10,0.018474888,0.017775915,-3.932133042,warping
31,34,15,0.030149677,0.035323547,14.64708579,warping
31,35,20,0.038955583,0.046731464,16.63949627,warping
31,36,25,0.045416769,0.051493705,11.80131697,warping
31,37,30,0.053214871,0.058946915,9.724078289,warping
31,38,35,0.060009383,0.06491772,7.560859144,warping
